id,word1,word2,antmorph,gold
tag-adjective-pairs.train1,efficient,incompetent,0,1
tag-adjective-pairs.train2,precipitous,steep,0,0
tag-adjective-pairs.train3,mystical,mysterious,0,0
tag-adjective-pairs.train4,dovish,hawkish,0,1
tag-adjective-pairs.train5,stout,fat,0,0
tag-adjective-pairs.train6,imaginary,real,0,1
tag-adjective-pairs.train7,lateral,bottom,0,1
tag-adjective-pairs.train8,insulting,abusive,0,0
tag-adjective-pairs.train9,heavy,deep,0,0
tag-adjective-pairs.train10,null,valid,0,1
tag-adjective-pairs.train11,wild,realistic,0,1
tag-adjective-pairs.train12,intact,sound,0,0
tag-adjective-pairs.train13,preposterous,ridiculous,0,0
tag-adjective-pairs.train14,idle,busy,0,1
tag-adjective-pairs.train15,pretty,mean,0,0
tag-adjective-pairs.train16,welcome,unwelcome,1,1
tag-adjective-pairs.train17,primitive,ancient,0,0
tag-adjective-pairs.train18,colloquial,informal,0,0
tag-adjective-pairs.train19,strong,influential,0,0
tag-adjective-pairs.train20,hot,far,0,1
tag-adjective-pairs.train21,famous,celebrated,0,0
tag-adjective-pairs.train22,streamlined,aerodynamic,0,0
tag-adjective-pairs.train23,bilateral,unilateral,0,1
tag-adjective-pairs.train24,wild,irregular,0,0
tag-adjective-pairs.train25,integrated,structured,0,0
tag-adjective-pairs.train26,deciduous,permanent,0,1
tag-adjective-pairs.train27,patulous,open,0,0
tag-adjective-pairs.train28,philosophical,emotional,0,1
tag-adjective-pairs.train29,structured,unstructured,1,1
tag-adjective-pairs.train30,selfish,unselfish,1,1
tag-adjective-pairs.train31,familiar,fresh,0,0
tag-adjective-pairs.train32,plump,lean,0,1
tag-adjective-pairs.train33,broad,small,0,1
tag-adjective-pairs.train34,female,feminine,0,0
tag-adjective-pairs.train35,unlawful,lawful,1,1
tag-adjective-pairs.train36,secure,vulnerable,0,1
tag-adjective-pairs.train37,fuzzy,hairless,0,1
tag-adjective-pairs.train38,perinatal,prenatal,0,1
tag-adjective-pairs.train39,irreversible,reversible,1,1
tag-adjective-pairs.train40,unbound,bound,1,1
tag-adjective-pairs.train41,equal,mixed,0,1
tag-adjective-pairs.train42,concordant,discordant,0,1
tag-adjective-pairs.train43,steep,hilly,0,0
tag-adjective-pairs.train44,naturalistic,realistic,0,0
tag-adjective-pairs.train45,humid,dry,0,1
tag-adjective-pairs.train46,splendid,great,0,0
tag-adjective-pairs.train47,spirited,fiery,0,0
tag-adjective-pairs.train48,unreserved,reserved,1,1
tag-adjective-pairs.train49,literal,actual,0,0
tag-adjective-pairs.train50,bare,unadorned,0,0
tag-adjective-pairs.train51,antique,new,0,1
tag-adjective-pairs.train52,frank,sincere,0,0
tag-adjective-pairs.train53,low,coarse,0,0
tag-adjective-pairs.train54,casual,formal,0,1
tag-adjective-pairs.train55,collective,capitalist,0,1
tag-adjective-pairs.train56,irregular,normal,0,1
tag-adjective-pairs.train57,collective,corporate,0,0
tag-adjective-pairs.train58,perpendicular,inclined,0,1
tag-adjective-pairs.train59,incoherent,coherent,1,1
tag-adjective-pairs.train60,open,closed,0,1
tag-adjective-pairs.train61,painful,comfortable,0,1
tag-adjective-pairs.train62,sad,hard,0,0
tag-adjective-pairs.train63,distal,mesial,0,1
tag-adjective-pairs.train64,noble,sublime,0,0
tag-adjective-pairs.train65,oriental,occidental,0,1
tag-adjective-pairs.train66,rocky,stable,0,1
tag-adjective-pairs.train67,fit,prepared,0,0
tag-adjective-pairs.train68,tiresome,interesting,0,1
tag-adjective-pairs.train69,witting,unwitting,1,1
tag-adjective-pairs.train70,great,small,0,1
tag-adjective-pairs.train71,other,additional,0,0
tag-adjective-pairs.train72,wooded,overgrown,0,0
tag-adjective-pairs.train73,lone,single,0,0
tag-adjective-pairs.train74,pastel,dark,0,1
tag-adjective-pairs.train75,quadruple,single,0,1
tag-adjective-pairs.train76,wide,thin,0,1
tag-adjective-pairs.train77,noisy,quiet,0,1
tag-adjective-pairs.train78,hilarious,funny,0,0
tag-adjective-pairs.train79,dorsal,ventral,0,1
tag-adjective-pairs.train80,wild,mild,0,1
tag-adjective-pairs.train81,waterlogged,swampy,0,0
tag-adjective-pairs.train82,entire,undivided,0,0
tag-adjective-pairs.train83,female,androgynous,0,1
tag-adjective-pairs.train84,monumental,small,0,1
tag-adjective-pairs.train85,unorganized,organized,1,1
tag-adjective-pairs.train86,unfair,unjustified,0,0
tag-adjective-pairs.train87,distinct,indistinct,1,1
tag-adjective-pairs.train88,stationary,immovable,0,0
tag-adjective-pairs.train89,wide,broad,0,0
tag-adjective-pairs.train90,clear,guilty,0,1
tag-adjective-pairs.train91,lusty,strong,0,0
tag-adjective-pairs.train92,loyal,firm,0,0
tag-adjective-pairs.train93,worldwide,national,0,1
