id,word1,word2,antmorph,gold
tag-fallows-pairs.train1,aback,aft,0,0
tag-fallows-pairs.train2,aback,ahead,0,1
tag-fallows-pairs.train3,aback,astern,0,0
tag-fallows-pairs.train4,aback,back,1,0
tag-fallows-pairs.train5,aback,backwards,0,0
tag-fallows-pairs.train6,aback,before,0,1
tag-fallows-pairs.train7,aback,behind,0,0
tag-fallows-pairs.train8,aback,beyond,0,1
tag-fallows-pairs.train9,aback,forwards,0,1
tag-fallows-pairs.train10,aback,onwards,0,1
tag-fallows-pairs.train11,aback,rearwards,0,0
tag-fallows-pairs.train12,abandon,abjure,0,0
tag-fallows-pairs.train13,abandon,assert,0,1
tag-fallows-pairs.train14,abandon,cease,0,0
tag-fallows-pairs.train15,abandon,cherish,0,1
tag-fallows-pairs.train16,abandon,claim,0,1
tag-fallows-pairs.train17,abandon,court,0,1
tag-fallows-pairs.train18,abandon,defend,0,1
tag-fallows-pairs.train19,abandon,desert,0,0
tag-fallows-pairs.train20,abandon,discontinue,0,0
tag-fallows-pairs.train21,abandoned,bad,0,0
tag-fallows-pairs.train22,abandoned,conscientious,0,1
tag-fallows-pairs.train23,abandoned,correct,0,1
tag-fallows-pairs.train24,abandoned,corrupt,0,0
tag-fallows-pairs.train25,abandoned,demoralized,0,0
tag-fallows-pairs.train26,abandoned,depraved,0,0
tag-fallows-pairs.train27,abandoned,dissolute,0,0
tag-fallows-pairs.train28,abandoned,good,0,1
tag-fallows-pairs.train29,abandoned,graceless,0,0
tag-fallows-pairs.train30,abandoned,incorrigible,0,0
tag-fallows-pairs.train31,abandoned,licentious,0,0
tag-fallows-pairs.train32,abandoned,profligate,0,0
tag-fallows-pairs.train33,abandoned,reprobate,0,0
tag-fallows-pairs.train34,abandoned,righteous,0,1
tag-fallows-pairs.train35,abandoned,sinful,0,0
tag-fallows-pairs.train36,abandoned,steady,0,1
tag-fallows-pairs.train37,abandoned,unprincipled,0,0
tag-fallows-pairs.train38,abandoned,vicious,0,0
tag-fallows-pairs.train39,abandoned,virtuous,0,1
tag-fallows-pairs.train40,abandoned,wicked,0,0
tag-fallows-pairs.train41,abandon,favor,0,1
tag-fallows-pairs.train42,abandon,forego,0,0
tag-fallows-pairs.train43,abandon,forsake,0,0
tag-fallows-pairs.train44,abandon,forswear,0,0
tag-fallows-pairs.train45,abandon,haunt,0,1
tag-fallows-pairs.train46,abandon,hold,0,1
tag-fallows-pairs.train47,abandon,keep,0,1
tag-fallows-pairs.train48,abandon,leave,0,0
tag-fallows-pairs.train49,abandon,occupy,0,1
