id,word1,word2,antmorph,gold
tag-fallows-small-pairs.train1,aback,back,1,0
tag-fallows-small-pairs.train2,aback,backwards,0,0
tag-fallows-small-pairs.train3,aback,beyond,0,1
tag-fallows-small-pairs.train4,abandon,assert,0,1
tag-fallows-small-pairs.train5,abandon,court,0,1
tag-fallows-small-pairs.train6,abandoned,reprobate,0,0
tag-fallows-small-pairs.train7,abandon,favor,0,1
tag-fallows-small-pairs.train8,abandon,forswear,0,0
tag-fallows-small-pairs.train9,abandon,haunt,0,1
tag-fallows-small-pairs.train10,abandon,leave,0,0
tag-fallows-small-pairs.train11,abandon,occupy,0,1
tag-fallows-small-pairs.train12,abandon,resign,0,0
tag-fallows-small-pairs.train13,abase,aggrandize,0,1
tag-fallows-small-pairs.train14,abase,degrade,0,0
tag-fallows-small-pairs.train15,abase,disgrace,0,0
tag-fallows-small-pairs.train16,abase,honor,0,1
tag-fallows-small-pairs.train17,abase,lower,0,0
tag-fallows-small-pairs.train18,abasement,dishonor,0,0
tag-fallows-small-pairs.train19,abase,stoop,0,0
tag-fallows-small-pairs.train20,abash,buoy,0,1
tag-fallows-small-pairs.train21,abash,shame,0,0
tag-fallows-small-pairs.train22,abate,diminish,0,0
tag-fallows-small-pairs.train23,abate,ferment,0,1
tag-fallows-small-pairs.train24,abate,mitigate,0,0
tag-fallows-small-pairs.train25,abbreviate,elongate,0,1
tag-fallows-small-pairs.train26,abbreviate,expand,0,1
tag-fallows-small-pairs.train27,abbreviate,shorten,0,0
tag-fallows-small-pairs.train28,abbreviation,summary,0,0
tag-fallows-small-pairs.train29,abdicate,claim,0,1
tag-fallows-small-pairs.train30,abduction,appropriation,0,0
tag-fallows-small-pairs.train31,abduction,rape,0,0
tag-fallows-small-pairs.train32,abduction,seizure,0,0
tag-fallows-small-pairs.train33,aberrant,consistent,0,1
tag-fallows-small-pairs.train34,aberrant,faithful,0,1
tag-fallows-small-pairs.train35,aberrant,natural,0,1
tag-fallows-small-pairs.train36,aberrant,wandering,0,0
tag-fallows-small-pairs.train37,aberration,desultoriness,0,0
tag-fallows-small-pairs.train38,abet,countenance,0,0
tag-fallows-small-pairs.train39,abet,support,0,0
tag-fallows-small-pairs.train40,abettor,assistant,0,0
tag-fallows-small-pairs.train41,abettor,associate,0,0
tag-fallows-small-pairs.train42,abettor,opponent,0,1
tag-fallows-small-pairs.train43,abeyance,action,0,1
tag-fallows-small-pairs.train44,abeyance,dormancy,0,0
tag-fallows-small-pairs.train45,abeyance,exercise,0,1
tag-fallows-small-pairs.train46,abeyance,force,0,1
tag-fallows-small-pairs.train47,abide,continue,0,0
tag-fallows-small-pairs.train48,abide,mislike,0,1
tag-fallows-small-pairs.train49,abide,sojourn,0,0
tag-fallows-small-pairs.train50,ability,inability,1,1
tag-fallows-small-pairs.train51,ability,unreadiness,0,1
tag-fallows-small-pairs.train52,abject,esteemed,0,1
tag-fallows-small-pairs.train53,abject,fawning,0,0
tag-fallows-small-pairs.train54,abject,low,0,0
tag-fallows-small-pairs.train55,abjure,apostatize,0,0
tag-fallows-small-pairs.train56,able,learned,0,0
tag-fallows-small-pairs.train57,abnormal,usual,0,1
tag-fallows-small-pairs.train58,abominate,like,0,1
tag-fallows-small-pairs.train59,abominate,loathe,0,0
tag-fallows-small-pairs.train60,abominate,love,0,1
tag-fallows-small-pairs.train61,abomination,love,0,1
tag-fallows-small-pairs.train62,aboriginal,original,1,0
tag-fallows-small-pairs.train63,aboriginal,upstart,0,1
tag-fallows-small-pairs.train64,abound,waste,0,1
tag-fallows-small-pairs.train65,about,generally,0,0
tag-fallows-small-pairs.train66,above,beneath,0,1
tag-fallows-small-pairs.train67,abridge,amplify,0,1
tag-fallows-small-pairs.train68,abridgment,abstract,0,0
tag-fallows-small-pairs.train69,abridgment,expatiation,0,1
tag-fallows-small-pairs.train70,abroach,secret,0,1
tag-fallows-small-pairs.train71,abrogate,repeal,0,0
tag-fallows-small-pairs.train72,abrogation,continuance,0,1
tag-fallows-small-pairs.train73,abrogation,establishment,0,1
tag-fallows-small-pairs.train74,abrupt,sudden,0,0
tag-fallows-small-pairs.train75,abscond,appear,0,1
tag-fallows-small-pairs.train76,abscond,show,0,1
tag-fallows-small-pairs.train77,absence,consideration,0,1
tag-fallows-small-pairs.train78,absence,distraction,0,0
tag-fallows-small-pairs.train79,absolute,irresponsible,0,0
tag-fallows-small-pairs.train80,absolve,accuse,0,1
tag-fallows-small-pairs.train81,absolve,bind,0,1
tag-fallows-small-pairs.train82,absolve,condemn,0,1
tag-fallows-small-pairs.train83,absorb,disperse,0,1
tag-fallows-small-pairs.train84,absorb,drown,0,0
tag-fallows-small-pairs.train85,abstain,cease,0,0
tag-fallows-small-pairs.train86,abstemious,sensual,0,1
tag-fallows-small-pairs.train87,absterge,purify,0,0
tag-fallows-small-pairs.train88,abstract,add,0,1
tag-fallows-small-pairs.train89,abstract,detach,0,0
tag-fallows-small-pairs.train90,abstract,eliminate,0,0
tag-fallows-small-pairs.train91,abstraction,abstracted,0,1
tag-fallows-small-pairs.train92,abstraction,adduction,0,1
tag-fallows-small-pairs.train93,abstraction,conjunction,0,1
tag-fallows-small-pairs.train94,abstraction,inattention,0,0
tag-fallows-small-pairs.train95,abstraction,individualization,0,1
tag-fallows-small-pairs.train96,abstraction,observation,0,1
tag-fallows-small-pairs.train97,abstruse,clear,0,1
tag-fallows-small-pairs.train98,absurd,sagacious,0,1
tag-fallows-small-pairs.train99,abundance,luxuriance,0,0
tag-fallows-small-pairs.train100,abundant,abounding,0,0
tag-fallows-small-pairs.train101,abundant,rare,0,1
tag-fallows-small-pairs.train102,abuse,asperse,0,0
tag-fallows-small-pairs.train103,abuse,laud,0,1
tag-fallows-small-pairs.train104,abuse,protect,0,1
tag-fallows-small-pairs.train105,abusive,vituperative,0,0
tag-fallows-small-pairs.train106,abut,approximate,0,0
tag-fallows-small-pairs.train107,abut,retreat,0,1
tag-fallows-small-pairs.train108,accede,demur,0,1
tag-fallows-small-pairs.train109,accede,withdraw,0,1
tag-fallows-small-pairs.train110,accelerate,delay,0,1
tag-fallows-small-pairs.train111,accelerate,dispatch,0,0
tag-fallows-small-pairs.train112,accelerate,hasten,0,0
tag-fallows-small-pairs.train113,accelerate,hinder,0,1
tag-fallows-small-pairs.train114,accelerate,hurry,0,0
tag-fallows-small-pairs.train115,accent,smoothness,0,1
tag-fallows-small-pairs.train116,acceptable,ungrateful,0,1
tag-fallows-small-pairs.train117,accept,admit,0,0
tag-fallows-small-pairs.train118,acceptation,meaning,0,0
tag-fallows-small-pairs.train119,accept,avow,0,0
tag-fallows-small-pairs.train120,accept,decline,0,1
tag-fallows-small-pairs.train121,access,departure,0,1
tag-fallows-small-pairs.train122,accessible,distant,0,1
tag-fallows-small-pairs.train123,accessible,easy,0,0
tag-fallows-small-pairs.train124,accessory,abettor,0,0
tag-fallows-small-pairs.train125,accessory,antagonist,0,1
tag-fallows-small-pairs.train126,accident,incident,0,0
tag-fallows-small-pairs.train127,acclivity,declivity,0,1
tag-fallows-small-pairs.train128,accommodating,inconsiderate,0,1
tag-fallows-small-pairs.train129,accommodating,kind,0,0
tag-fallows-small-pairs.train130,accompany,attend,0,0
tag-fallows-small-pairs.train131,accompany,eschew,0,1
tag-fallows-small-pairs.train132,accomplice,adversary,0,1
tag-fallows-small-pairs.train133,accomplice,associate,0,0
tag-fallows-small-pairs.train134,accomplice,coadjutor,0,0
tag-fallows-small-pairs.train135,accomplice,partner,0,0
tag-fallows-small-pairs.train136,accomplish,destroy,0,1
tag-fallows-small-pairs.train137,accordant,consistent,0,0
tag-fallows-small-pairs.train138,accord,consist,0,0
tag-fallows-small-pairs.train139,accord,misfit,0,1
tag-fallows-small-pairs.train140,accord,withhold,0,1
tag-fallows-small-pairs.train141,accost,address,0,0
tag-fallows-small-pairs.train142,accountable,answerable,0,0
tag-fallows-small-pairs.train143,accountable,responsible,0,0
tag-fallows-small-pairs.train144,account,report,0,0
tag-fallows-small-pairs.train145,accredit,discard,0,1
tag-fallows-small-pairs.train146,accredit,distrust,0,1
tag-fallows-small-pairs.train147,accredit,recall,0,1
tag-fallows-small-pairs.train148,accurate,faulty,0,1
tag-fallows-small-pairs.train149,accurate,truthful,0,0
tag-fallows-small-pairs.train150,accustom,inure,0,0
tag-fallows-small-pairs.train151,ace,numbers,0,1
tag-fallows-small-pairs.train152,acerbity,mildness,0,1
tag-fallows-small-pairs.train153,ace,title,0,0
tag-fallows-small-pairs.train154,ache,smart,0,0
tag-fallows-small-pairs.train155,achieve,finish,0,0
tag-fallows-small-pairs.train156,acquaint,hoodwink,0,1
tag-fallows-small-pairs.train157,acquiesce,concur,0,0
tag-fallows-small-pairs.train158,acquiesce,repose,0,0
tag-fallows-small-pairs.train159,acquire,get,0,0
tag-fallows-small-pairs.train160,acquire,lose,0,1
tag-fallows-small-pairs.train161,acquirement,accomplishment,0,0
tag-fallows-small-pairs.train162,acrid,mellow,0,1
tag-fallows-small-pairs.train163,act,cessation,0,1
tag-fallows-small-pairs.train164,active,prompt,0,0
tag-fallows-small-pairs.train165,activity,agility,0,0
tag-fallows-small-pairs.train166,activity,briskness,0,0
tag-fallows-small-pairs.train167,activity,rapidity,0,0
tag-fallows-small-pairs.train168,act,play,0,0
tag-fallows-small-pairs.train169,actual,developed,0,0
tag-fallows-small-pairs.train170,actual,positive,0,0
tag-fallows-small-pairs.train171,actual,supposition,0,1
tag-fallows-small-pairs.train172,actual,virtual,0,1
tag-fallows-small-pairs.train173,actuate,discourage,0,1
tag-fallows-small-pairs.train174,actuate,urge,0,0
tag-fallows-small-pairs.train175,aculeated,armed,0,0
tag-fallows-small-pairs.train176,acumen,penetrativeness,0,0
tag-fallows-small-pairs.train177,acute,keen,0,0
tag-fallows-small-pairs.train178,acutely,deeply,0,0
tag-fallows-small-pairs.train179,acute,sharp,0,0
tag-fallows-small-pairs.train180,adage,aphorism,0,0
tag-fallows-small-pairs.train181,adapt,adjust,0,0
tag-fallows-small-pairs.train182,adaptation,adjustment,0,0
tag-fallows-small-pairs.train183,adaptation,incompatibility,0,1
tag-fallows-small-pairs.train184,addendum,complement,0,0
tag-fallows-small-pairs.train185,additament,annexation,0,0
tag-fallows-small-pairs.train186,additament,decrement,0,1
tag-fallows-small-pairs.train187,additament,detraction,0,1
tag-fallows-small-pairs.train188,additament,drawback,0,1
tag-fallows-small-pairs.train189,addition,veritable,0,1
tag-fallows-small-pairs.train190,address,appeal,0,0
tag-fallows-small-pairs.train191,address,pass,0,1
tag-fallows-small-pairs.train192,adduce,except,0,1
tag-fallows-small-pairs.train193,adept,lubber,0,1
tag-fallows-small-pairs.train194,adept,tyro,0,1
tag-fallows-small-pairs.train195,adequate,sufficient,0,0
tag-fallows-small-pairs.train196,adhere,secede,0,1
tag-fallows-small-pairs.train197,adhere,sever,0,1
tag-fallows-small-pairs.train198,admittance,ejection,0,1
tag-fallows-small-pairs.train199,admonish,caution,0,0
tag-fallows-small-pairs.train200,admonish,encourage,0,1
tag-fallows-small-pairs.train201,ado,hubbub,0,0
tag-fallows-small-pairs.train202,adopt,appropriate,0,0
tag-fallows-small-pairs.train203,adopt,disown,0,1
tag-fallows-small-pairs.train204,adopt,select,0,0
tag-fallows-small-pairs.train205,adopt,take,0,0
tag-fallows-small-pairs.train206,ado,quiet,0,1
tag-fallows-small-pairs.train207,adore,idolize,0,0
tag-fallows-small-pairs.train208,adorn,bare,0,1
tag-fallows-small-pairs.train209,adorn,despoil,0,1
tag-fallows-small-pairs.train210,adulterate,contaminate,0,0
tag-fallows-small-pairs.train211,adumbration,hint,0,0
tag-fallows-small-pairs.train212,adumbration,premonition,0,0
tag-fallows-small-pairs.train213,advance,oppose,0,1
tag-fallows-small-pairs.train214,advantage,help,0,0
tag-fallows-small-pairs.train215,adventitious,extrinsic,0,0
tag-fallows-small-pairs.train216,adventitious,regular,0,1
tag-fallows-small-pairs.train217,adversity,success,0,1
tag-fallows-small-pairs.train218,adversity,unsuccess,0,0
tag-fallows-small-pairs.train219,advertent,inobservant,0,1
tag-fallows-small-pairs.train220,advisable,impolitic,0,1
tag-fallows-small-pairs.train221,advisable,profitable,0,0
tag-fallows-small-pairs.train222,advocate,upholder,0,0
tag-fallows-small-pairs.train223,affable,approachable,0,0
tag-fallows-small-pairs.train224,affair,topic,0,0
tag-fallows-small-pairs.train225,affair,transaction,0,0
tag-fallows-small-pairs.train226,affectation,simulation,0,0
tag-fallows-small-pairs.train227,affectibility,nervousness,0,0
tag-fallows-small-pairs.train228,affection,bent,0,0
tag-fallows-small-pairs.train229,affection,desire,0,0
tag-fallows-small-pairs.train230,affiance,confidence,0,0
tag-fallows-small-pairs.train231,affiance,disloyalty,0,1
tag-fallows-small-pairs.train232,affiliate,inoculate,0,0
tag-fallows-small-pairs.train233,affinity,connection,0,0
tag-fallows-small-pairs.train234,affinity,repugnance,0,1
tag-fallows-small-pairs.train235,affirm,maintain,0,0
