id,word1,word2,antmorph,gold
tag-noun-pairs.train1,trap,bunker,0,0
tag-noun-pairs.train2,infinitesimal,infinity,0,1
tag-noun-pairs.train3,group,horde,0,0
tag-noun-pairs.train4,adhesion,bond,0,0
tag-noun-pairs.train5,grandson,grandfather,0,1
tag-noun-pairs.train6,treasurer,receiver,0,0
tag-noun-pairs.train7,angiosperm,gymnosperm,0,1
tag-noun-pairs.train8,illiteracy,literacy,1,1
tag-noun-pairs.train9,overture,approach,0,0
tag-noun-pairs.train10,support,encourage,0,0
tag-noun-pairs.train11,dent,indentation,0,0
tag-noun-pairs.train12,drive,motor,0,0
tag-noun-pairs.train13,defence,prosecution,0,1
tag-noun-pairs.train14,deficiency,excess,0,1
tag-noun-pairs.train15,belgium,belgique,0,0
tag-noun-pairs.train16,ditch,dike,0,0
tag-noun-pairs.train17,column,row,0,1
tag-noun-pairs.train18,girl,son,0,1
tag-noun-pairs.train19,illness,disease,0,0
tag-noun-pairs.train20,asymmetry,symmetry,1,1
tag-noun-pairs.train21,extrovert,introvert,0,1
tag-noun-pairs.train22,limitation,measurement,0,0
tag-noun-pairs.train23,men,woman,0,1
tag-noun-pairs.train24,zenith,nadir,0,1
tag-noun-pairs.train25,news,word,0,0
tag-noun-pairs.train26,dependency,addiction,0,0
tag-noun-pairs.train27,skepticism,belief,0,1
tag-noun-pairs.train28,carbohydrate,sugar,0,0
tag-noun-pairs.train29,scepticism,belief,0,1
tag-noun-pairs.train30,intension,extension,0,1
tag-noun-pairs.train31,row,paddle,0,0
tag-noun-pairs.train32,clozapine,clozaril,0,0
tag-noun-pairs.train33,root,zealand,0,0
tag-noun-pairs.train34,reject,accept,0,1
tag-noun-pairs.train35,distortion,aberration,0,0
tag-noun-pairs.train36,enema,injection,0,0
tag-noun-pairs.train37,combatant,noncombatant,1,1
tag-noun-pairs.train38,elevation,depression,0,1
tag-noun-pairs.train39,helicopter,copter,0,0
tag-noun-pairs.train40,grandmother,null,0,0
tag-noun-pairs.train41,loser,victor,0,1
tag-noun-pairs.train42,scrivener,scribe,0,0
tag-noun-pairs.train43,vassal,lord,0,1
tag-noun-pairs.train44,author,generator,0,0
tag-noun-pairs.train45,maxima,minimum,0,1
tag-noun-pairs.train46,fortification,tower,0,0
tag-noun-pairs.train47,mantissa,characteristic,0,1
tag-noun-pairs.train48,western,eastern,0,1
tag-noun-pairs.train49,purpose,object,0,0
tag-noun-pairs.train50,resistance,opposition,0,0
tag-noun-pairs.train51,collection,congregation,0,0
tag-noun-pairs.train52,place,rank,0,0
tag-noun-pairs.train53,answer,inquiry,0,1
tag-noun-pairs.train54,original,first,0,0
tag-noun-pairs.train55,output,input,0,1
tag-noun-pairs.train56,shape,facet,0,0
tag-noun-pairs.train57,functionality,procedure,0,0
tag-noun-pairs.train58,test,tryout,0,0
